index,In_Out,Filename_ID,Video_Length (s),Count_Cars,Avg_Angle,Avg_Speed_Px_Per_Second,Estimated_Lanes,Cars_per_Second,Cars_per_Lane_per_Second
0,In,1,3.3,4,-105.68169861423151,202.77087651091372,2.503521026706008,1.2121212121212122,0.48416657946590247
1,Out,1,3.3,4,-124.52825125527917,624.9663564183957,3.2049228628469777,1.2121212121212122,0.3782060486299717
0,In,2,11.072222827272729,7,90.5804534644224,178.50597209890034,3.5079297994760936,0.6322127100583483,0.18022387738567883
1,Out,2,11.072222827272729,10,42.92489111018134,70.65894547210536,2.534916194283076,0.9031610143690691,0.3562883129651159
