In_Out,Filename_ID,Video_Length (s),Count_Cars,Avg_Angle,Avg_Speed_Px_Per_Second,Cars per Second
In,1,3.3,4,-105.68169861423151,202.77087651091372,1.2121212121212122
Out,1,3.3,4,-124.52825125527917,624.9663564183957,1.2121212121212122
